id,title_romaji,title_english,status,format,chapters,volumes,tags_id,tags_name,characters_nodes_name_first,characters_nodes_name_last,characters_nodes_gender
30001,MONSTER,Monster,FINISHED,MANGA,162,18,"[50, 456, 240, 85, 391, 494, 327, 226, 198, 365, 82, 25, 109, 105, 694, 40, 153, 659, 1046, 186, 1052, 1121, 322, 156, 94]","['Seinen', 'Conspiracy', 'Amnesia', 'Tragedy', 'Philosophy', 'Twins', 'Noir', 'Fugitive', 'Foreign', 'Memory Manipulation', 'Male Protagonist', 'Historical', 'Primarily Adult Cast', 'Ensemble Cast', 'Detective', 'Police', 'Time Skip', 'Medicine', 'Suicide', 'Crossdressing', 'Adoption', 'Torture', 'Assassins', 'Achronological Order', 'Gore']","['Eva', 'Anna', 'Johan', 'Heinrich', 'Kenzou', 'Akanbou', 'Martin', 'Blue Sophie', 'Dieter', 'Roberto', 'Petr', 'Franz', 'Richard', 'Lotte', 'Rudy-Ulrich', 'Wolfgang', 'Otto', 'Toshio', 'Milan Kolacsh', 'Jaromír', 'Gunther', 'Karl', 'Julius', 'Hans Georg', 'Christof']","['Heinemann', 'Liebert', 'Liebert', 'Lunge', 'Tenma', None, 'Reest', None, None, '', 'Čapek', 'Bonaparta', 'Braun', 'Frank', 'Gillen', 'Grimmer', 'Heckel', 'Iwai', '', 'Lipský', 'Milch', 'Neumann', 'Reichwein', 'Schuwald', 'Sievernich']","['Female', 'Female', 'Male', 'Male', 'Male', 'Male', 'Male', 'Female', 'Male', 'Male', None, 'Male', 'Male', 'Female', 'Male', 'Male', None, None, None, 'Male', 'Male', None, None, None, None]"
30002,Berserk,Berserk,RELEASING,MANGA,,,"[85, 50, 252, 82, 15, 636, 94, 1277, 391, 155, 104, 43, 29, 111, 1310, 198, 639, 870, 311, 253, 208, 100, 109, 1219, 1091, 143, 34, 723, 1455, 103, 240, 179, 102, 1121, 598, 105, 217, 276, 488, 1045, 830, 153, 156, 624, 931, 397, 499, 604, 128, 247, 1052, 190, 586, 224, 305, 66, 558, 98, 131, 134, 483, 1090, 259]","['Tragedy', 'Seinen', 'Revenge', 'Male Protagonist', 'Demons', 'Cosmic Horror', 'Gore', 'Found Family', 'Philosophy', 'Rape', 'Anti-Hero', 'Swordplay', 'Magic', 'War', 'Travel', 'Foreign', 'Body Horror', 'Cannibalism', 'Rehabilitation', 'Gods', 'Mythology', 'Nudity', 'Primarily Adult Cast', 'Disability', 'Religion', 'Survival', 'Military', 'Sadism', 'Fairy', 'Politics', 'Amnesia', 'Witch', 'Coming of Age', 'Torture', 'Elf', 'Ensemble Cast', 'Dystopian', 'Kaiju', 'Age Regression', 'Heterosexual', 'Group Sex', 'Time Skip', 'Achronological Order', 'Vore', 'Tomboy', 'Pregnant', 'Skeleton', 'Dungeon', 'Incest', 'Slavery', 'Adoption', 'Prostitution', 'Cult', 'Dragons', 'Ships', 'Super Power', 'Mermaid', 'Female Protagonist', 'Masturbation', 'Fellatio', 'LGBTQ+ Themes', 'Monster Boy', 'Monster Girl']","['Guts', 'Isidro', 'Casca', 'Schierke', 'Griffith', 'Serpico', 'Puck', 'Farnese', 'Locus', 'General Boscogne', 'Rickert', 'Godot', 'The Skull Knight', 'Mozgus', 'Conrad', 'Irvine', 'Lord Gennon', 'Corkus', 'Queen of Midland', 'Azan', 'Bazuso', 'Gaston', 'Rakshas', 'Luca', 'Foss']","[None, None, None, None, None, None, None, 'de Vandimion', None, None, None, None, None, None, None, None, None, '', None, None, None, None, None, None, None]","['Male', None, 'Female', None, 'Male', 'Male', None, 'Female', 'Male', 'Male', 'Male', 'Male', 'Male', None, None, None, 'Male', 'Male', 'Female', 'Male', None, 'Male', 'Male', None, 'Male']"
30003,20 Seiki Shounen,20th Century Boys,FINISHED,MANGA,249,22,"[103, 102, 105, 50, 226, 217, 156, 456, 586, 153, 93, 874, 285, 1277, 82, 694, 265, 636, 98, 25, 85, 391, 364, 40, 175, 1165, 198, 1063, 96, 1379, 100, 536, 494, 186]","['Politics', 'Coming of Age', 'Ensemble Cast', 'Seinen', 'Fugitive', 'Dystopian', 'Achronological Order', 'Conspiracy', 'Cult', 'Time Skip', 'Post-Apocalyptic', 'Pandemic', 'Terrorism', 'Found Family', 'Male Protagonist', 'Detective', 'Musical', 'Cosmic Horror', 'Female Protagonist', 'Historical', 'Tragedy', 'Philosophy', 'Augmented Reality', 'Police', 'Robots', 'Transgender', 'Foreign', 'Cute Boys Doing Cute Things', 'Time Manipulation', 'Homeless', 'Nudity', 'Dissociative Identities', 'Twins', 'Crossdressing']","['Tomodachi', 'Kenji', 'Kanna', 'Sanae', 'Maruo', 'The Killer', 'Yanbo and Mabo', 'Shikishima', 'Yamane', 'Shouhei', 'Kiriko', 'Keitarou', 'Fukubei', 'Yuuichi', 'Manjoume', 'Kyuutarou', 'Saburô', 'Sada', 'Kyoko', 'Masaaki', 'Yoshitsune', 'Chouji', 'Yukiji', 'Lena', 'Katsumata']","[None, 'Endou', 'Endou', None, None, None, None, None, None, 'Chouno', 'Endo', 'Fukuda', 'Hattori', 'Imano', 'Inshuu', 'Kaminaga', 'Kido', 'Kiyoshi', 'Koizumi', 'Komon', 'Minamoto', 'Ochiai', 'Setoguchi', 'Shikishima', 'Tadanobu']","[None, 'Male', 'Female', None, None, None, None, None, None, 'Male', 'Female', 'Male', None, None, 'Male', 'Male', None, None, None, None, None, 'Male', 'Female', None, None]"
30004,Yokohama Kaidashi Kikou,Yokohama Kaidashi Kikou,FINISHED,MANGA,142,14,"[81, 93, 98, 391, 250, 102, 175, 153, 466, 50, 193, 517, 145, 176, 1310, 76, 87, 483, 173, 100]","['Iyashikei', 'Post-Apocalyptic', 'Female Protagonist', 'Philosophy', 'Rural', 'Coming of Age', 'Robots', 'Time Skip', 'Lost Civilization', 'Seinen', 'Episodic', 'Artificial Intelligence', 'Work', 'Mopeds', 'Travel', 'Yuri', 'Family Life', 'LGBTQ+ Themes', 'Motorcycles', 'Nudity']","['Alpha', 'Ojisan', 'Saetta', 'Takahiro', 'Matsuki', 'Misago', 'Ayase', 'Nai', 'Alpha', '', 'Maruko', 'Kokone']","['Hatsuseno', None, None, None, None, None, None, None, ""Koumi'ishi"", ""Koumi'ishi"", 'Maruko', 'Takatsu']","['Female', None, None, None, 'Female', None, None, None, None, None, None, None]"
30007,Hajime no Ippo,Hajime no Ippo: Fighting Spirit!,RELEASING,MANGA,,,"[169, 56, 82, 88, 109, 102, 171, 105, 395, 1045]","['Boxing', 'Shounen', 'Male Protagonist', 'Primarily Male Cast', 'Primarily Adult Cast', 'Coming of Age', 'Bullying', 'Ensemble Cast', 'Delinquents', 'Heterosexual']","['Masaru', 'Manabu', 'Genji', 'Tatsuya', 'Ippo', 'Mamoru', 'Nakadai Coach', 'Yasuda', 'Hachinoe Coach', 'Tomiko', 'Warlee', 'Reiko', 'Jikkyou Announcer', 'Randy Jr.', 'Eiji', 'Aiko', 'Yuuji', 'Minoru', 'Yoshio', 'Dankichi', 'Bryan', 'Ryuuichi', 'Mari', 'Kyousuke', 'Nanako']","['Aoki', 'Itagaki', 'Kamogawa', 'Kimura', 'Makunouchi', 'Takamura', None, None, None, None, None, None, None, 'Boy', 'Date', 'Date', 'Date', 'Fujii', 'Fujiwara', 'Hama', 'Hawk', 'Hayami', 'Iimura', 'Imai', 'Itagaki']","['Male', 'Male', 'Male', 'Male', 'Male', 'Male', None, None, None, None, 'Male', None, None, None, 'Male', None, None, None, 'Male', None, 'Male', 'Male', None, None, None]"
30008,Full Moon wo Sagashite,Full Moon,FINISHED,MANGA,42,7,"[115, 29, 139, 53, 98, 311, 1277, 1068, 102, 654, 1046, 391, 85, 147, 1045, 99, 254, 113, 253, 233, 208, 138, 321, 595]","['Idol', 'Magic', 'Love Triangle', 'Shoujo', 'Female Protagonist', 'Rehabilitation', 'Found Family', 'Angels', 'Coming of Age', 'Denpa', 'Suicide', 'Philosophy', 'Tragedy', 'Afterlife', 'Heterosexual', 'Henshin', 'Kemonomimi', 'Nekomimi', 'Gods', 'Youkai', 'Mythology', 'Age Gap', 'Urban Fantasy', 'Urban']","['Takuto', 'Mitsuki', 'Izumi', 'Meroko', 'Jonathan', 'Aoi', 'Fuzuki', 'Masami', 'Eichi', 'Souichirou', 'Madoka', 'Keiichi']","['Kira', 'Kouyama', 'Rio', 'Yui', None, 'Koga', 'Koyama', 'Ooshige', 'Sakurai', 'Shidou', 'Wakamatsu', 'Wakaouji']","[None, 'Female', 'Male', None, None, None, None, None, None, None, None, 'Male']"
30009,Tsubasa: RESERVoir CHRoNiCLE,Tsubasa RESERVoir CHRoNiCLE,FINISHED,MANGA,233,28,"[1310, 146, 29, 158, 1342, 85, 156, 105, 240, 365, 244, 1277, 96, 1045, 243, 56, 639, 43, 466, 536, 74, 494]","['Travel', 'Alternate Universe', 'Magic', 'Crossover', 'Clone', 'Tragedy', 'Achronological Order', 'Ensemble Cast', 'Amnesia', 'Memory Manipulation', 'Isekai', 'Found Family', 'Time Manipulation', 'Heterosexual', 'Reincarnation', 'Shounen', 'Body Horror', 'Swordplay', 'Lost Civilization', 'Dissociative Identities', 'Vampire', 'Twins']","['Kurogane', 'Syaoran', 'Sakura', 'Sakura', 'Fai D.', 'Syaoran', 'Mokona', 'Nataku', 'Caldina', 'Tomoyo', 'Inuki', 'Hikaru', 'Announcer', 'Ashura', 'Chii', 'Moro', 'Maru', 'Karura-Ou', 'Yasha-ou', 'Yuzuki', 'Debonair', 'Ashura-ou', 'Kendappa-Ou', 'Oruha', 'Kotoko']","[None, None, None, None, 'Flourite', 'Li', 'Modoki', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Male', 'Male', None, 'Female', None, None, None, None, None, 'Female', None, None, None, None, 'Female', None, None, None, 'Male', 'Female', None, None, None, None, 'Female']"
30010,xxxHolic,xxxHOLiC,FINISHED,MANGA,214,19,"[29, 233, 208, 1342, 50, 158, 220, 179, 391, 321, 46, 1045]","['Magic', 'Youkai', 'Mythology', 'Clone', 'Seinen', 'Crossover', 'Ghost', 'Witch', 'Philosophy', 'Urban Fantasy', 'School', 'Heterosexual']","['Shizuka', 'Yuuko', 'Himawari', 'Mokona', 'Kimihiro', 'Mugetsu', 'Syaoran', 'Zashiki-warashi', 'Sakura', 'Neko-musume', 'Kurogane', 'Ame-warashi', 'Jorougumo', 'Moro', 'Maru', 'Chibi Kitsune', 'Haruka', 'Fai D.', 'Rikuo', 'Kazahaya', 'Syaoran', 'Mokona', 'Fei Wong', 'Clow', 'Kohane']","['Doumeki', 'Ichihara', 'Kunogi', 'Modoki', 'Watanuki', None, None, None, None, ' ', None, None, None, None, None, ' ', 'Doumeki', 'Flourite', 'Himura', 'Kudo', 'Li', 'Modoki', 'Reed', 'Reed', 'Tsuyuri']","['Male', None, None, None, 'Male', None, 'Male', None, 'Female', None, 'Male', None, None, None, None, None, None, None, None, None, None, None, None, None, 'Female']"
30011,NARUTO,Naruto,FINISHED,MANGA,700,72,"[56, 255, 102, 252, 66, 82, 30, 85, 1277, 111, 153, 276, 326, 391, 29, 1243, 1382, 139, 99, 490, 310, 191, 15, 433, 1310]","['Shounen', 'Ninja', 'Coming of Age', 'Revenge', 'Super Power', 'Male Protagonist', 'Martial Arts', 'Tragedy', 'Found Family', 'War', 'Time Skip', 'Kaiju', 'Cultivation', 'Philosophy', 'Magic', 'Necromancy', 'Orphan', 'Love Triangle', 'Henshin', 'Anachronism', 'Espionage', 'Aliens', 'Demons', 'Animals', 'Travel']","['Sakura', 'Kakashi', 'Sasuke', 'Naruto', 'Gouzu', 'Tora', 'Katsuyu', 'Jiraiya', 'Darui', 'Kakuzu', 'Chuukichi', 'Udon', 'Mabui', 'Fukai', 'Tsunami', 'Maki', 'Dengaku', 'Tsuba', 'Motoi', 'Chojuro', 'Choumei', 'Gamakichi', 'Zori', 'Yuura', 'Land of Wind Daimyo']","['Haruno', 'Hatake', 'Uchiha', 'Uzumaki', None, None, None, '', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Female', 'Male', 'Male', 'Male', 'Male', None, None, 'Male', 'Male', 'Male', None, None, 'Female', None, 'Female', None, None, None, None, None, None, None, None, None, None]"
30012,BLEACH,Bleach,FINISHED,MANGA,706,74,"[56, 43, 66, 82, 111, 220, 105, 147, 321, 137, 85, 456, 1165, 391, 1045, 153, 490, 395, 102, 99, 639]","['Shounen', 'Swordplay', 'Super Power', 'Male Protagonist', 'War', 'Ghost', 'Ensemble Cast', 'Afterlife', 'Urban Fantasy', 'Large Breasts', 'Tragedy', 'Conspiracy', 'Transgender', 'Philosophy', 'Heterosexual', 'Time Skip', 'Anachronism', 'Delinquents', 'Coming of Age', 'Henshin', 'Body Horror']","['Orihime', 'Uryuu', 'Rukia', 'Ichigo', 'Yasutora', 'Aoga', 'Bulbous G', 'Kagine', 'Yhwach', 'Zangetsu', 'Hashigami', 'Soi Fon', 'Kanisawa', 'Jibakurai', 'Hinagiku', 'Demora', 'Grand Fisher', 'Koganehiko', ""Kaname Tosen's friend"", 'Acidwire', 'Bawabawa', 'Hiyosu', 'Ayame', 'Goteitaishi', 'Verona']","['Inoue', 'Ishida', 'Kuchiki', 'Kurosaki', 'Sado', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Female', 'Male', 'Female', 'Male', 'Male', None, None, None, 'Male', 'Male', None, 'Female', None, None, None, None, None, None, None, None, None, None, None, None, None]"
30013,ONE PIECE,One Piece,RELEASING,MANGA,,,"[201, 1310, 1277, 56, 105, 66, 85, 305, 34, 648, 226, 456, 103, 93, 82, 1427, 253, 111, 217, 83, 109, 153, 466, 326, 247, 490, 342, 43, 322, 106, 208, 433, 104, 101, 310, 489, 252, 801, 1052, 240, 137, 499, 291, 99, 1453, 102, 175, 142, 659, 224, 157, 558, 632, 593, 255, 1068, 122, 96, 259, 483, 152, 704, 365, 77, 191, 154, 144, 1091, 1165, 1342]","['Pirates', 'Travel', 'Found Family', 'Shounen', 'Ensemble Cast', 'Super Power', 'Tragedy', 'Ships', 'Military', 'Crime', 'Fugitive', 'Conspiracy', 'Politics', 'Post-Apocalyptic', 'Male Protagonist', 'Prison', 'Gods', 'War', 'Dystopian', 'Slapstick', 'Primarily Adult Cast', 'Time Skip', 'Lost Civilization', 'Cultivation', 'Slavery', 'Anachronism', 'Environmental', 'Swordplay', 'Assassins', 'Gangs', 'Mythology', 'Animals', 'Anti-Hero', 'Battle Royale', 'Espionage', 'Drugs', 'Revenge', 'Cyborg', 'Adoption', 'Amnesia', 'Large Breasts', 'Skeleton', 'Samurai', 'Henshin', 'Desert', 'Coming of Age', 'Robots', 'Food', 'Medicine', 'Dragons', 'Guns', 'Mermaid', 'Centaur', 'Oiran', 'Ninja', 'Angels', 'Trains', 'Time Manipulation', 'Monster Girl', 'LGBTQ+ Themes', 'Zombie', 'Dinosaurs', 'Memory Manipulation', 'Gender Bending', 'Aliens', 'Body Swapping', 'Meta', 'Religion', 'Transgender', 'Clone']","['Usopp', 'Franky', 'Sanji', 'Brook', 'Nami', 'Luffy', 'Robin', 'Zoro', 'Chopper', 'Ideaman', 'Fukaboshi', 'Arlong', 'Itomimizu', 'Papaneel', 'Nero', 'Haredas', 'Masira', 'Aladdin', 'Aisa', 'Kung Fu Dugong', 'Taroimo', 'Saint Shalulia', 'Kaneshiro', 'Laboon', 'Doran']","[None, '', '', '', '', 'Monkey', 'Nico', 'Roronoa', 'Tony Tony', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Male', 'Male', 'Male', 'Male', 'Female', 'Male', 'Female', 'Male', 'Male', None, 'Male', 'Male', 'Male', None, 'Male', None, None, None, 'Female', None, None, None, None, None, None]"
30014,Groove Adventure Rave,Rave Master,FINISHED,MANGA,298,35,"[56, 82, 96, 98, 1310, 43, 85, 29, 224, 240, 15]","['Shounen', 'Male Protagonist', 'Time Manipulation', 'Female Protagonist', 'Travel', 'Swordplay', 'Tragedy', 'Magic', 'Dragons', 'Amnesia', 'Demons']","['Plue', 'Elie', 'Ruby', 'Belnika', 'Haru', 'Griffon', 'Java', 'Julia', 'Hamrio', 'Bony', 'Julius', 'Lazenby', 'Remi', 'Celia', 'Berial', 'Solacido', 'Dalmatian', 'Melodia', 'Reina', 'Sieghart', 'Jegan', 'Shuda', 'Hardner', 'Lilith', 'Ogre']","[None, None, None, None, 'Glory', 'Kato', 'Let Dahaka', 'Line Dragoon', 'Musica', 'The Starfish', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, 'Female', 'Male', 'Female', 'Male', None, None, 'Female', 'Male', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
30015,Mahou Sensei Negima!,Negima! Magister Negi Magi,FINISHED,MANGA,355,38,"[23, 56, 66, 82, 86, 165, 321, 29, 46, 30, 138, 83, 175, 244, 74, 255, 43, 139, 164, 365, 931, 254, 220, 96, 157, 780, 100, 102, 198, 614, 335, 779, 163, 162, 15]","['Female Harem', 'Shounen', 'Super Power', 'Male Protagonist', 'Primarily Female Cast', 'Teacher', 'Urban Fantasy', 'Magic', 'School', 'Martial Arts', 'Age Gap', 'Slapstick', 'Robots', 'Isekai', 'Vampire', 'Ninja', 'Swordplay', 'Love Triangle', 'Tsundere', 'Memory Manipulation', 'Tomboy', 'Kemonomimi', 'Ghost', 'Time Manipulation', 'Guns', 'Ojou-sama', 'Nudity', 'Coming of Age', 'Foreign', 'Nun', 'Tanned Skin', 'Kuudere', 'Yandere', 'Space Opera', 'Demons']","['Yue', 'Albert', 'Chisame', 'Asuna', 'Konoka', 'Evangeline Athanasia Katherine', 'Nodoka', 'Setsuna', 'Negi', 'Sister Shakti', 'Tsukuyomi', 'Eiko', 'Seruhiko', 'Theodora', 'Chachazero', 'Sayo', 'Yuuna', 'Chigusa', 'Kazumi', 'Fate', 'Anna', 'Arika Anarchia', 'Collet', 'Cocone', 'Ku']","['Ayase', 'Chamomile', 'Hasegawa', 'Kagurazaka', 'Konoe', 'McDowell', 'Miyazaki', 'Sakurazaki', 'Springfield', None, None, None, None, None, None, 'Aisaka', 'Akashi', 'Amagasaki', 'Asakura', 'Averruncus', 'Cocolova', 'Entheofushia', 'Farandole', 'Fatima Rosa', 'Fei']","['Female', None, 'Female', 'Female', 'Female', None, 'Female', 'Female', 'Male', None, None, None, None, None, None, None, 'Female', 'Female', 'Female', None, None, None, None, None, 'Female']"
